id,title,country,body,leaders,banner,code,color,member,tw_link,fb_link,li_link,web_link,lat,lon
1,Athens,GR,"Athens Travel Massive! The only city in this world spoiled for choice. That's likely how you'll feel with a mere day in Athens. What about a quarterly meet up then? The cool travel industry experts meet to exchange ideas and have a great evening! An event for travel brands, travel start ups, bloggers & travel enthusiasts.",2|3,Athens.jpg,ATH,#BB0854,4|5|6|7|8|9,,https://www.facebook.com/groups/532938736762252/,,,37.9667,23.7167
2,Atlanta,US,"Atlanta is home to the world's busiest airport and has a travel industry to support it. The state of Georgia is the 4th fastest growing destination in the US for international travelers, with airlines like AirTran and Delta based here.",4|5,Atlanta.jpg,ATL,#6D3782,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25,,https://www.facebook.com/AtlantaTravelMassive,,,33.755,-84.39
3,Austin,US,"Not only is Austin is the capital city of Texas, it is the Live Music Capital of the World! Austin is home to the only Formula One track in the United States and attracts visitors from all over the world for numerous music and technology festivals.",6|7|8,Austin.jpg,AUS,#6603FB,26|27|28|29|30|31|32|33,,,,,30.25,-97.75
4,Bangkok,TH,"With its buzzing nightlife, yummy street foods and low cost of living, Bangkok is attracting entrepreneurs, digital nomads and innovators from all over the world who are building new travel startups and services. With over 12 million people and its central location, Bangkok has emerged as a vibrant creative hub of South East Asia.",9|10|11,Bangkok.jpg,BKK,#3D8C53,34|35|36|37|38|39|40|41,,,,,13.75,100.4667
5,Berlin,DE,"Berlin is the epicentre of Europe's startup scene and the recently-launched Travel Massive draws upcoming entrepreneurs, bloggers, media folk, established travel brands and industry enthusiasts all in the one room.",12,Berlin.jpg,BER,#4E4C2D,42|43,,https://www.facebook.com/groups/berlintravelmassive/,,,52.5167,13.3833
6,Bilbao,ES,"Bilbao Travel Massive, an event for all travel and tourism professionals and anybody passionate about travel. An event to share experiences and knowledge and do some networking.",13,Bilbao.jpg,BIL,#6D976E,44|45|46,https://twitter.com/bilbaoTM,,,http://bilbaotravelmassive.eventbrite.es/,43.2569,-2.9236
7,Boston,US,"Boston is home to some of the top travel brands in the world, along with a burgeoning start-up community and lots of travel bloggers and journos. Boston's Travel Massive isn't formal - just drinks, chatter and great networking.",14,Boston.jpg,BOS,#BCCF44,47|48|49|50|51|52,,,,http://www.meetup.com/Boston-Travel-Massive/,42.3581,-71.0636
8,Brisbane,AU,"Brisbane has a buzzing travel scene, with some of the world's largest travel companies headquarted in Australia's third largest city.",15|16|17,Brisbane.jpg,BNE,#1AB2EA,53|54|55|56|57,,,,http://www.meetup.com/Travel-Massive-Brisbane/,-27.4679,153.0278
9,Brighton,UK,"Its proximity to London and reputation as an innovative digital hub positions Brighton perfectly for the travel companies, journalists and bloggers that are based here. It's entrepreneurial, social and creative spirit also makes it a great place for start-ups and young business that include niche tour operators, adventure and active travel organisations and travel focused digital marketing agencies and suppliers. 2014 will be the start of TravelMassive Brighton. Informal knowledge share and networking.",18|19|20,Brighton.jpg,BRI,#D176DC,58|59|60,,,,,50.8429,-0.1313
10,Brussels,BE,"Who says Brussels is boring? Brussels Travel Massive brings together the cities best and brightest travel bloggers, press, social media aficionados, adventure and outdoor travel companies and/or anyone involved in the travel industry. Hosted in a different unique venue each time, Brussels Trave Massive is a perfect place to network with other professionals and brands and to talk about topics and trends within the industry.",21|22,Brussels.jpg,BRU,#92BEFD,61|62|63,,,,,50.85,4.35
11,Buenos Aires,AR,"Argentina Travel Massive -- Join us for events every two months in Buenos Aires and Salta. The Argentina community brings together people from the start ups, the volunteer sector, blogging and the travel industry to meet, network and collaborate.",23|24|25,Buenos Aires.jpg,BUE,#B5B4C1,64|65|66,,,,,-34.6033,-58.3817
12,Cape Town,SA,"Cape Town, the design Capital of the world for 2014, will be hosting its very first Travel Massive meet-up in the heart of the mother city this month. Cape Town attracts beautiful people from all around the world offering a lifestyle to locals like no other city does. Travel Massive will give people working in the travel sector the opportunity to network on a regular basis to ensure staying up to date with latest trends in travel and gain the most out of relationships with other networkers in Cape Town.",26|27|28,Cape Town.jpg,CPT,#38EF72,67|68|69|70|71,,https://www.facebook.com/groups/719225141475464/,,,-33.9253,18.4239
13,Cincinnati,US,"Who's got one of the most dynamic turnaround/redevelopment stories in the nation - and a palpable energy bursting from each new development downtown? The 'Nati does. And now we've got a reason for local tourism professionals to get together and network too! We'll be bringing together tourism professionals from southern Ohio, northern Kentucky, and southeastern Indiana (and visitors from outside those regions as well), for networking, professional development, and more. 
",26|27|28,Cincinnati.jpg,CIN,#49DFBB,72|73|74|75,,,,,39.1,-84.5167
14,Chicago,US,Chicago is home to many of the country's most notable travel companies from airlines and hotel chains to online travel agents and tour operators. Chicago's Travel Massive will connect executives at these companies with the city's vibrant travel blogging and journalism community. We plan to meet bi-monthly for networking and education events.,30,Chicago.jpg,CHI,#99C0FA,76|77|78|79,,https://www.facebook.com/groups/TravelMassiveChicago/,,,41.8369,-87.6847
