id,title,body,leaders,banner,code,color,member,tw_link,fb_link,li_link,web_link,,
1,Athens,"Athens Travel Massive! The only city in this world spoiled for choice. That’s likely how you’ll feel with a mere day in Athens. What about a quarterly meet up then? The cool travel industry experts meet to exchange ideas and have a great evening! An event for travel brands, travel start ups, bloggers & travel enthusiasts.",2,Athens.jpg,ATH,#BB0854,6|7|8|9,,https://www.facebook.com/groups/532938736762252/#_=_,,,,
2,Atlanta,"Atlanta is home to the world's busiest airport and has a travel industry to support it. The state of Georgia is the 4th fastest growing destination in the US for international travelers, with airlines like AirTran and Delta based here.",3,Atlanta.jpg,ATL,#6D3782,6|7|8|9,,https://www.facebook.com/AtlantaTravelMassive,,,,
3,Austin,"
Not only is Austin is the capital city of Texas, it is the Live Music Capital of the World! Austin is home to the only Formula One track in the United States and attracts visitors from all over the world for numerous music and technology festivals.",4,Austin.jpg,AUS,#6603FB,6|7|8|9,,,,,,
4,Bangkok,"With its buzzing nightlife, yummy street foods and low cost of living, Bangkok is attracting entrepreneurs, digital nomads and innovators from all over the world who are building new travel startups and services. With over 12 million people and its central location, Bangkok has emerged as a vibrant creative hub of South East Asia.",5,Bangkok.jpg,BKK,#3D8C53,6|7|8|9,,,,,,
5,Berlin,"Berlin is the epicentre of Europe's startup scene and the recently-launched Travel Massive draws upcoming entrepreneurs, bloggers, media folk, established travel brands and industry enthusiasts all in the one room.",6,Berlin.jpg,BER,#4E4C2D,6|7|8|9,,https://www.facebook.com/groups/berlintravelmassive/,,,,
6,Bilbao,"Bilbao Travel Massive, an event for all travel and tourism professionals
and anybody passionate about travel. An event to share experiences and 
knowledge and do some networking.",7,Bilbao.jpg,BIL,#6D976E,6|7|8|9,https://twitter.com/bilbaoTM,,,http://bilbaotravelmassive.eventbrite.es/,,
7,Boston,"Boston is home to some of the top travel brands in the world, along with a burgeoning start-up community and lots of travel bloggers and journos. Boston's Travel Massive isn't formal - just drinks, chatter and great networking.",8,Boston.jpg,BOS,#BCCF44,6|7|8|9,,,,http://www.meetup.com/Boston-Travel-Massive/,,
8,Brisbane,"Brisbane has a buzzing travel scene, with some of the world's largest travel companies headquarted in Australia's third largest city.",9,Brisbane.jpg,BNE,#1AB2EA,6|7|8|9,,,,http://www.meetup.com/Travel-Massive-Brisbane/,,
9,Brighton,"Its proximity to London and reputation as an innovative digital hub positions Brighton perfectly for 

the travel companies, journalists and bloggers that are based here. It’s entrepreneurial, social and

creative spirit also makes it a great place for start-ups and young business that include niche tour

operators, adventure and active travel organisations and travel focused digital marketing agencies

and suppliers. 2014 will be the start of TravelMassive Brighton. Informal knowledge share and 

networking.",2,Brighton.jpg,BRI,#D176DC,6|7|8|9,,,,,,
10,Brussels,"Who says Brussels is boring? Brussels Travel Massive brings together the cities best and brightest travel bloggers, press, social media aficionados, adventure and outdoor travel companies and/or anyone involved in the travel industry. Hosted in a different unique venue each time, Brussels Trave Massive is a perfect place to network with other professionals and brands and to talk about topics and trends within the industry.",3,Brussels.jpg,BRU,#92BEFD,6|7|8|9,,,,,,
11,Buenos Aires,"Argentina Travel Massive -- Join us for events every two months in Buenos Aires and Salta. The Argentina community brings together people from the start ups, the volunteer sector, blogging and the travel industry to meet, network and collaborate.",4,Buenos Aires.jpg,BUE,#B5B4C1,6|7|8|9,,,,,,
